sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"YAZIO","958",,"DietaryFiber","g",2021-01-18 10:03:57 +0200,2021-01-18 10:03:57 +0200,2021-01-18 10:03:57 +0200,0.01
"YAZIO","958",,"DietaryFiber","g",2021-01-18 10:04:17 +0200,2021-01-18 10:04:17 +0200,2021-01-18 10:04:17 +0200,0.01
"YAZIO","958",,"DietaryFiber","g",2021-01-18 10:05:03 +0200,2021-01-18 10:05:03 +0200,2021-01-18 10:05:03 +0200,0.3915
"YAZIO","958",,"DietaryFiber","g",2021-01-18 14:31:27 +0200,2021-01-18 14:31:26 +0200,2021-01-18 14:31:26 +0200,3.7038
"YAZIO","958",,"DietaryFiber","g",2021-01-18 14:31:34 +0200,2021-01-18 14:31:34 +0200,2021-01-18 14:31:34 +0200,0.18
"YAZIO","958",,"DietaryFiber","g",2021-01-18 14:31:40 +0200,2021-01-18 14:31:40 +0200,2021-01-18 14:31:40 +0200,1.26
"YAZIO","958",,"DietaryFiber","g",2021-01-18 21:52:17 +0200,2021-01-18 21:52:17 +0200,2021-01-18 21:52:17 +0200,0
"YAZIO","958",,"DietaryFiber","g",2021-01-19 15:12:23 +0200,2021-01-19 15:12:23 +0200,2021-01-19 15:12:23 +0200,0.632
"YAZIO","958",,"DietaryFiber","g",2021-01-19 15:13:02 +0200,2021-01-19 15:13:02 +0200,2021-01-19 15:13:02 +0200,1
"YAZIO","958",,"DietaryFiber","g",2021-01-19 15:13:11 +0200,2021-01-19 15:13:11 +0200,2021-01-19 15:13:11 +0200,1.5
"YAZIO","958",,"DietaryFiber","g",2021-01-19 15:13:55 +0200,2021-01-19 15:13:55 +0200,2021-01-19 15:13:55 +0200,1.8
"YAZIO","958",,"DietaryFiber","g",2021-01-22 20:18:18 +0200,2021-01-22 20:18:17 +0200,2021-01-22 20:18:17 +0200,0.507
"YAZIO","958",,"DietaryFiber","g",2021-01-22 20:19:41 +0200,2021-01-22 20:19:41 +0200,2021-01-22 20:19:41 +0200,1.5
"YAZIO","958",,"DietaryFiber","g",2021-01-22 20:19:56 +0200,2021-01-22 20:19:56 +0200,2021-01-22 20:19:56 +0200,0.632
"YAZIO","966",,"DietaryFiber","g",2021-01-27 15:28:38 +0200,2021-01-27 15:28:38 +0200,2021-01-27 15:28:38 +0200,4.6
"YAZIO","966",,"DietaryFiber","g",2021-01-27 15:28:49 +0200,2021-01-27 15:28:49 +0200,2021-01-27 15:28:49 +0200,3.3
"YAZIO","966",,"DietaryFiber","g",2021-01-29 16:28:15 +0200,2021-01-29 16:28:15 +0200,2021-01-29 16:28:15 +0200,1.8
"YAZIO","966",,"DietaryFiber","g",2021-01-29 16:28:36 +0200,2021-01-29 16:28:36 +0200,2021-01-29 16:28:36 +0200,3.6
"YAZIO","966",,"DietaryFiber","g",2021-01-29 16:29:22 +0200,2021-01-29 16:29:21 +0200,2021-01-29 16:29:21 +0200,4.1
"YAZIO","966",,"DietaryFiber","g",2021-01-29 16:29:25 +0200,2021-01-29 16:29:25 +0200,2021-01-29 16:29:25 +0200,4.1
"YAZIO","970",,"DietaryFiber","g",2021-02-22 16:57:15 +0200,2021-02-22 16:57:15 +0200,2021-02-22 16:57:15 +0200,7.5
"YAZIO","970",,"DietaryFiber","g",2021-02-22 17:59:52 +0200,2021-02-22 17:59:52 +0200,2021-02-22 17:59:52 +0200,3.9
"YAZIO","970",,"DietaryFiber","g",2021-02-24 16:31:47 +0200,2021-02-24 16:31:47 +0200,2021-02-24 16:31:47 +0200,3.9
"YAZIO","970",,"DietaryFiber","g",2021-02-24 16:31:50 +0200,2021-02-24 16:31:50 +0200,2021-02-24 16:31:50 +0200,3.9
"YAZIO","970",,"DietaryFiber","g",2021-02-27 14:50:27 +0200,2021-02-27 14:50:27 +0200,2021-02-27 14:50:27 +0200,0.4
"YAZIO","977",,"DietaryFiber","g",2021-03-29 08:55:24 +0200,2021-03-29 08:55:24 +0200,2021-03-29 08:55:24 +0200,0.01
