sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"YAZIO","958",,"DietarySodium","mg",2021-01-18 10:05:03 +0200,2021-01-18 10:05:03 +0200,2021-01-18 10:05:03 +0200,71.05
"YAZIO","958",,"DietarySodium","mg",2021-01-18 14:31:27 +0200,2021-01-18 14:31:26 +0200,2021-01-18 14:31:26 +0200,746.1
"YAZIO","958",,"DietarySodium","mg",2021-01-18 14:31:34 +0200,2021-01-18 14:31:34 +0200,2021-01-18 14:31:34 +0200,118.8
"YAZIO","958",,"DietarySodium","mg",2021-01-18 14:31:40 +0200,2021-01-18 14:31:40 +0200,2021-01-18 14:31:40 +0200,831.6
"YAZIO","958",,"DietarySodium","mg",2021-01-18 21:52:17 +0200,2021-01-18 21:52:17 +0200,2021-01-18 21:52:17 +0200,35.88
"YAZIO","958",,"DietarySodium","mg",2021-01-19 15:11:56 +0200,2021-01-19 15:11:55 +0200,2021-01-19 15:11:55 +0200,139.4
"YAZIO","958",,"DietarySodium","mg",2021-01-19 15:12:23 +0200,2021-01-19 15:12:23 +0200,2021-01-19 15:12:23 +0200,1.58
"YAZIO","958",,"DietarySodium","mg",2021-01-19 15:13:55 +0200,2021-01-19 15:13:55 +0200,2021-01-19 15:13:55 +0200,0
"YAZIO","958",,"DietarySodium","mg",2021-01-22 20:19:56 +0200,2021-01-22 20:19:56 +0200,2021-01-22 20:19:56 +0200,1.58
"YAZIO","970",,"DietarySodium","mg",2021-02-24 16:32:45 +0200,2021-02-24 16:32:45 +0200,2021-02-24 16:32:45 +0200,0.6
"YAZIO","970",,"DietarySodium","mg",2021-02-24 16:32:48 +0200,2021-02-24 16:32:48 +0200,2021-02-24 16:32:48 +0200,0.6
"YAZIO","970",,"DietarySodium","mg",2021-02-27 14:50:27 +0200,2021-02-27 14:50:27 +0200,2021-02-27 14:50:27 +0200,2
