sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"YAZIO","958",,"DietaryWater","mL",2021-01-18 10:05:03 +0200,2021-01-18 10:05:03 +0200,2021-01-18 10:05:03 +0200,5.2809
"YAZIO","958",,"DietaryWater","mL",2021-01-18 14:31:34 +0200,2021-01-18 14:31:34 +0200,2021-01-18 14:31:34 +0200,9.306
"YAZIO","958",,"DietaryWater","mL",2021-01-18 14:31:40 +0200,2021-01-18 14:31:40 +0200,2021-01-18 14:31:40 +0200,65.142
"YAZIO","958",,"DietaryWater","mL",2021-01-18 21:52:17 +0200,2021-01-18 21:52:17 +0200,2021-01-18 21:52:17 +0200,131.804
"YAZIO","958",,"DietaryWater","mL",2021-01-19 15:12:23 +0200,2021-01-19 15:12:23 +0200,2021-01-19 15:12:23 +0200,108.135
"YAZIO","958",,"DietaryWater","mL",2021-01-22 20:19:56 +0200,2021-01-22 20:19:56 +0200,2021-01-22 20:19:56 +0200,108.135
"YAZIO","966",,"DietaryWater","mL",2021-01-27 15:27:04 +0200,2021-01-27 15:27:04 +0200,2021-01-27 15:27:04 +0200,1000
"YAZIO","966",,"DietaryWater","mL",2021-01-29 10:08:12 +0200,2021-01-29 10:08:12 +0200,2021-01-29 10:08:12 +0200,250
"YAZIO","966",,"DietaryWater","mL",2021-01-31 11:20:15 +0200,2021-01-31 11:20:15 +0200,2021-01-31 11:20:15 +0200,500
"YAZIO","970",,"DietaryWater","mL",2021-02-25 11:54:03 +0200,2021-02-25 11:54:02 +0200,2021-02-25 11:54:02 +0200,250
"YAZIO","970",,"DietaryWater","mL",2021-02-27 14:50:27 +0200,2021-02-27 14:50:27 +0200,2021-02-27 14:50:27 +0200,176.6
"YAZIO","977",,"DietaryWater","mL",2021-03-29 08:55:37 +0200,2021-03-29 08:55:37 +0200,2021-03-29 08:55:37 +0200,500
