sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Iris’s Apple Watch","7.3.2",,"MindfulSession",,2021-04-17 17:38:03 +0200,2021-04-17 17:37:00 +0200,2021-04-17 17:38:00 +0200,
"Apple Watch de Elliott","7.5",,"MindfulSession",,2021-07-15 02:22:11 +0200,2021-07-15 02:21:08 +0200,2021-07-15 02:22:08 +0200,
"Apple Watch de Elliott","7.5",,"MindfulSession",,2021-07-18 01:49:56 +0200,2021-07-18 01:48:52 +0200,2021-07-18 01:49:52 +0200,
"Apple Watch de Elliott","7.5",,"MindfulSession",,2021-07-18 02:31:51 +0200,2021-07-18 02:30:48 +0200,2021-07-18 02:31:48 +0200,
"Apple Watch de Elliott","7.5",,"MindfulSession",,2021-07-19 15:23:56 +0200,2021-07-19 15:22:53 +0200,2021-07-19 15:23:53 +0200,
"Apple Watch de Elliott","7.6",,"MindfulSession",,2021-07-22 22:55:15 +0200,2021-07-22 22:54:12 +0200,2021-07-22 22:55:12 +0200,
"Apple Watch de Elliott","7.6.1",,"MindfulSession",,2021-08-14 16:11:19 +0200,2021-08-14 16:10:16 +0200,2021-08-14 16:11:16 +0200,
"Apple Watch de Elliott","7.6.1",,"MindfulSession",,2021-08-14 16:12:39 +0200,2021-08-14 16:11:35 +0200,2021-08-14 16:12:35 +0200,
"Apple Watch de Elliott","7.6.1",,"MindfulSession",,2021-08-17 20:50:20 +0200,2021-08-17 20:49:16 +0200,2021-08-17 20:50:16 +0200,
"Apple Watch de Elliott","7.6.1",,"MindfulSession",,2021-08-23 12:49:11 +0200,2021-08-23 12:48:07 +0200,2021-08-23 12:49:07 +0200,
"Apple Watch de Elliott","7.6.1",,"MindfulSession",,2021-08-29 02:08:58 +0200,2021-08-29 02:07:55 +0200,2021-08-29 02:08:55 +0200,
"Apple Watch de Elliott","7.6.1",,"MindfulSession",,2021-09-05 15:31:35 +0200,2021-09-05 15:30:31 +0200,2021-09-05 15:31:31 +0200,
"Apple Watch de Elliott","7.6.1",,"MindfulSession",,2021-09-06 00:54:37 +0200,2021-09-06 00:53:34 +0200,2021-09-06 00:54:34 +0200,
