sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 09:35:46 +0200,2021-07-14 09:35:11 +0200,2021-07-14 09:35:15 +0200,0.332291
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 09:45:27 +0200,2021-07-14 09:44:45 +0200,2021-07-14 09:44:50 +0200,0.328985
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 09:45:27 +0200,2021-07-14 09:44:50 +0200,2021-07-14 09:44:54 +0200,0.33131
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 09:45:27 +0200,2021-07-14 09:44:54 +0200,2021-07-14 09:45:02 +0200,0.308178
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 09:45:47 +0200,2021-07-14 09:45:02 +0200,2021-07-14 09:45:06 +0200,0.297316
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 10:21:48 +0200,2021-07-14 10:21:07 +0200,2021-07-14 10:21:13 +0200,0.20122
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 10:41:40 +0200,2021-07-14 10:40:52 +0200,2021-07-14 10:41:04 +0200,0.295407
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 10:42:49 +0200,2021-07-14 10:42:01 +0200,2021-07-14 10:42:08 +0200,0.508159
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 10:44:29 +0200,2021-07-14 10:43:48 +0200,2021-07-14 10:43:57 +0200,0.254186
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 10:44:49 +0200,2021-07-14 10:44:04 +0200,2021-07-14 10:44:08 +0200,0.734353
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 12:49:47 +0200,2021-07-14 12:48:49 +0200,2021-07-14 12:48:57 +0200,0.223281
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 12:50:39 +0200,2021-07-14 12:49:39 +0200,2021-07-14 12:49:50 +0200,0.224481
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 13:06:35 +0200,2021-07-14 13:05:52 +0200,2021-07-14 13:06:01 +0200,0.225774
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 13:24:21 +0200,2021-07-14 13:23:37 +0200,2021-07-14 13:23:42 +0200,0.302976
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 13:25:21 +0200,2021-07-14 13:24:35 +0200,2021-07-14 13:24:46 +0200,0.2539
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 13:25:43 +0200,2021-07-14 13:25:06 +0200,2021-07-14 13:25:15 +0200,0.253857
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 13:28:01 +0200,2021-07-14 13:27:14 +0200,2021-07-14 13:27:21 +0200,0.299211
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 13:28:21 +0200,2021-07-14 13:27:24 +0200,2021-07-14 13:27:44 +0200,0.226598
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 13:29:01 +0200,2021-07-14 13:28:17 +0200,2021-07-14 13:28:27 +0200,0.25896
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 13:29:46 +0200,2021-07-14 13:29:03 +0200,2021-07-14 13:29:10 +0200,0.206686
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 13:33:36 +0200,2021-07-14 13:32:15 +0200,2021-07-14 13:32:19 +0200,0.269346
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 13:33:36 +0200,2021-07-14 13:32:19 +0200,2021-07-14 13:32:24 +0200,0.200899
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 14:01:37 +0200,2021-07-14 14:00:10 +0200,2021-07-14 14:00:14 +0200,0.301997
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 14:01:37 +0200,2021-07-14 14:00:37 +0200,2021-07-14 14:00:52 +0200,0.278692
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 16:29:50 +0200,2021-07-14 16:29:06 +0200,2021-07-14 16:29:12 +0200,0.305714
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 16:29:50 +0200,2021-07-14 16:29:20 +0200,2021-07-14 16:29:24 +0200,0.276939
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 23:10:02 +0200,2021-07-14 23:09:17 +0200,2021-07-14 23:09:21 +0200,0.357863
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-14 23:10:02 +0200,2021-07-14 23:09:21 +0200,2021-07-14 23:09:25 +0200,0.253671
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-15 00:25:36 +0200,2021-07-15 00:24:57 +0200,2021-07-15 00:25:01 +0200,0.23323
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-15 17:57:43 +0200,2021-07-15 17:56:47 +0200,2021-07-15 17:56:54 +0200,0.220335
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-15 19:15:04 +0200,2021-07-15 19:14:26 +0200,2021-07-15 19:14:38 +0200,0.233495
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-15 19:15:24 +0200,2021-07-15 19:14:41 +0200,2021-07-15 19:14:45 +0200,0.284325
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 00:43:14 +0200,2021-07-16 00:42:27 +0200,2021-07-16 00:42:31 +0200,0.331626
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 09:51:22 +0200,2021-07-16 09:50:50 +0200,2021-07-16 09:50:54 +0200,0.254178
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 09:51:42 +0200,2021-07-16 09:50:57 +0200,2021-07-16 09:51:01 +0200,0.335343
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 09:51:42 +0200,2021-07-16 09:51:03 +0200,2021-07-16 09:51:07 +0200,0.274053
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 10:17:57 +0200,2021-07-16 10:17:15 +0200,2021-07-16 10:17:19 +0200,0.640785
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 12:31:46 +0200,2021-07-16 12:30:58 +0200,2021-07-16 12:31:04 +0200,0.302124
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 12:31:46 +0200,2021-07-16 12:31:08 +0200,2021-07-16 12:31:13 +0200,0.263859
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 12:45:27 +0200,2021-07-16 12:44:51 +0200,2021-07-16 12:45:03 +0200,0.267405
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 12:45:47 +0200,2021-07-16 12:45:03 +0200,2021-07-16 12:45:07 +0200,0.281716
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 13:00:08 +0200,2021-07-16 12:59:38 +0200,2021-07-16 12:59:42 +0200,0.409957
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 13:00:48 +0200,2021-07-16 13:00:11 +0200,2021-07-16 13:00:15 +0200,0.425435
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 13:00:48 +0200,2021-07-16 13:00:15 +0200,2021-07-16 13:00:22 +0200,0.350287
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 13:01:08 +0200,2021-07-16 13:00:25 +0200,2021-07-16 13:00:34 +0200,0.379703
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 13:50:38 +0200,2021-07-16 13:49:39 +0200,2021-07-16 13:49:43 +0200,0.368596
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 13:50:38 +0200,2021-07-16 13:49:46 +0200,2021-07-16 13:49:51 +0200,0.282529
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 14:05:15 +0200,2021-07-16 14:03:53 +0200,2021-07-16 14:04:03 +0200,0.41218
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 14:17:48 +0200,2021-07-16 14:17:03 +0200,2021-07-16 14:17:07 +0200,0.446287
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 14:18:08 +0200,2021-07-16 14:17:24 +0200,2021-07-16 14:17:39 +0200,0.339066
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 14:20:29 +0200,2021-07-16 14:19:41 +0200,2021-07-16 14:19:45 +0200,0.447539
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 14:51:31 +0200,2021-07-16 14:50:54 +0200,2021-07-16 14:50:58 +0200,0.341102
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 14:51:31 +0200,2021-07-16 14:50:58 +0200,2021-07-16 14:51:02 +0200,0.571746
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 17:30:46 +0200,2021-07-16 17:29:55 +0200,2021-07-16 17:30:01 +0200,0.205385
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 17:30:46 +0200,2021-07-16 17:30:05 +0200,2021-07-16 17:30:10 +0200,0.409921
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 20:52:12 +0200,2021-07-16 20:51:30 +0200,2021-07-16 20:51:34 +0200,0.257715
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 20:53:38 +0200,2021-07-16 20:52:46 +0200,2021-07-16 20:52:52 +0200,0.250865
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 23:26:16 +0200,2021-07-16 23:25:47 +0200,2021-07-16 23:25:51 +0200,0.29278
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-16 23:26:36 +0200,2021-07-16 23:25:54 +0200,2021-07-16 23:25:58 +0200,0.265925
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-17 18:20:26 +0200,2021-07-17 18:19:46 +0200,2021-07-17 18:19:50 +0200,0.316679
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-17 21:08:03 +0200,2021-07-17 21:06:31 +0200,2021-07-17 21:06:35 +0200,0.320913
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-17 21:08:03 +0200,2021-07-17 21:06:37 +0200,2021-07-17 21:06:42 +0200,0.259425
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-17 21:09:46 +0200,2021-07-17 21:09:02 +0200,2021-07-17 21:09:06 +0200,0.324374
"Apple Watch de Elliott","2420.17.26",,"StairDescentSpeed","m/s",2021-07-17 21:15:14 +0200,2021-07-17 21:14:27 +0200,2021-07-17 21:14:31 +0200,0.303437
